idx,emoji,category,codepoints
2,🍎,Food & Drink,1F34E
3,🍐,Food & Drink,1F350
4,🍊,Food & Drink,1F34A
5,🍋,Food & Drink,1F34B
6,🍌,Food & Drink,1F34C
7,🍉,Food & Drink,1F349
8,🍇,Food & Drink,1F347
9,🍓,Food & Drink,1F353
10,🫐,Food & Drink,1FAD0
11,🍈,Food & Drink,1F348
12,🍒,Food & Drink,1F352
13,🍑,Food & Drink,1F351
14,🥭,Food & Drink,1F96D
15,🍍,Food & Drink,1F34D
16,🥥,Food & Drink,1F965
17,🥝,Food & Drink,1F95D
18,🍅,Food & Drink,1F345
19,🍆,Food & Drink,1F346
20,🥑,Food & Drink,1F951
21,🥦,Food & Drink,1F966
22,🥬,Food & Drink,1F96C
23,🥒,Food & Drink,1F952
25,🫑,Food & Drink,1FAD1
26,🥕,Food & Drink,1F955
27,🧄,Food & Drink,1F9C4
28,🧅,Food & Drink,1F9C5
29,🥔,Food & Drink,1F954
30,🍠,Food & Drink,1F360
31,🥐,Food & Drink,1F950
32,🥯,Food & Drink,1F96F
33,🍞,Food & Drink,1F35E
34,🥖,Food & Drink,1F956
35,🥨,Food & Drink,1F968
36,🧀,Food & Drink,1F9C0
37,🥚,Food & Drink,1F95A
38,🍳,Food & Drink,1F373
39,🧈,Food & Drink,1F9C8
40,🥞,Food & Drink,1F95E
41,🧇,Food & Drink,1F9C7
42,🥓,Food & Drink,1F953
43,🥩,Food & Drink,1F969
44,🍗,Food & Drink,1F357
45,🍖,Food & Drink,1F356
46,🌭,Food & Drink,1F32D
47,🍔,Food & Drink,1F354
48,🍟,Food & Drink,1F35F
49,🍕,Food & Drink,1F355
50,🥪,Food & Drink,1F96A
51,🥙,Food & Drink,1F959
52,🧆,Food & Drink,1F9C6
53,🌮,Food & Drink,1F32E
54,🌯,Food & Drink,1F32F
55,🫔,Food & Drink,1FAD4
56,🥗,Food & Drink,1F957
57,🥘,Food & Drink,1F958
58,🫕,Food & Drink,1FAD5
59,🥫,Food & Drink,1F96B
60,🍝,Food & Drink,1F35D
61,🍜,Food & Drink,1F35C
62,🍲,Food & Drink,1F372
63,🍛,Food & Drink,1F35B
64,🍣,Food & Drink,1F363
65,🍱,Food & Drink,1F371
66,🥟,Food & Drink,1F95F
67,🦪,Food & Drink,1F9AA
68,🍤,Food & Drink,1F364
69,🍙,Food & Drink,1F359
70,🍚,Food & Drink,1F35A
71,🍘,Food & Drink,1F358
72,🍥,Food & Drink,1F365
73,🥠,Food & Drink,1F960
74,🥮,Food & Drink,1F96E
75,🍢,Food & Drink,1F362
76,🍡,Food & Drink,1F361
77,🍧,Food & Drink,1F367
78,🍨,Food & Drink,1F368
79,🍦,Food & Drink,1F366
80,🥧,Food & Drink,1F967
81,🧁,Food & Drink,1F9C1
82,🍰,Food & Drink,1F370
83,🎂,Food & Drink,1F382
84,🍮,Food & Drink,1F36E
85,🍭,Food & Drink,1F36D
86,🍬,Food & Drink,1F36C
87,🍫,Food & Drink,1F36B
88,🍿,Food & Drink,1F37F
89,🍩,Food & Drink,1F369
90,🍪,Food & Drink,1F36A
91,🌰,Food & Drink,1F330
92,🥜,Food & Drink,1F95C
93,🍯,Food & Drink,1F36F
94,🥛,Food & Drink,1F95B
95,🍼,Food & Drink,1F37C
96,☕,Food & Drink,2615
97,🫖,Food & Drink,1FAD6
